# Trim_Forces           
# Time                  	total_x                 	total_y                 	total_z                 
1.860000038146973e+01	+5.496251626910925e-02	+6.490668613725530e-01	+4.742907411819970e-19
1.870000076293945e+01	+3.392467641596634e-02	+4.910174608973464e-01	+9.492065986620132e-19
1.879999923706055e+01	+3.755964857991292e-02	+5.116485203091595e-01	+8.659248396497064e-19
1.889999961853027e+01	+3.936314615713690e-02	+5.128463585074555e-01	+8.431967651765054e-19
1.900000000000000e+01	+3.964438391968899e-02	+5.134714751942407e-01	+8.259930536457109e-19
1.910000038146973e+01	+3.911861475503144e-02	+5.124096650335908e-01	+8.280110395643736e-19
1.920000076293945e+01	+3.882358297954300e-02	+5.133284799436842e-01	+8.364129860340501e-19
1.929999923706055e+01	+3.866493625223295e-02	+5.156857859330154e-01	+8.412022854869161e-19
1.939999961853027e+01	+3.830839588529243e-02	+5.160464349784909e-01	+8.528398200881724e-19
1.950000000000000e+01	+3.817771071183795e-02	+5.178008011199695e-01	+8.540135685509879e-19
1.960000038146973e+01	+3.788650547733612e-02	+5.182536017005838e-01	+8.600448885951704e-19
1.970000076293945e+01	+3.789075317517311e-02	+5.209013858559898e-01	+8.571046730102026e-19
1.979999923706055e+01	+3.768552933143821e-02	+5.218016053475018e-01	+8.633145461238427e-19
1.989999961853027e+01	+3.769970362018459e-02	+5.242584037010284e-01	+8.682663527766925e-19
2.000000000000000e+01	+3.771214675891239e-02	+5.262082909244029e-01	+8.604099496565109e-19
